date,High,Low,Open,Close,Marketcap,Close_7days,daily_avg_polarity,bitcoin
2021-06-11,37608.69429327,36044.44991066,36697.03129279,37334.39952553,699368729838.32,35689.97091793854,0.05657726048752835,39
2021-06-12,37408.92559512,34728.19010076,37340.14284419,35552.51714847,666018173753.46,35690.05069259425,0.04452966892498627,27
2021-06-13,39322.78021188,34864.10993969,35555.79014042,39097.86089667,732465659891.78,36152.262573908534,0.06836383725770898,15
2021-06-14,40978.36447697,38757.28412199,39016.970177800016,40218.47785943,753471062533.64,37103.37257700425,0.06121357878933637,35
2021-06-15,41295.26857449,39609.469196300015,40427.16992116,40406.26898673,757029874724.96,38093.89218252568,0.040969896331738455,48
2021-06-16,40516.77682766,38176.03417592,40168.69037027,38347.06322666,718494773611.53,38237.026716878536,0.06639879240831949,40
2021-06-17,39513.67016412,37439.67410798,38341.42380252,38053.50417253,713025631757.51,38430.01311657426,0.06881840979236813,19
2021-06-18,38187.26016042,35255.85491821,38099.47705463,35787.24478177,670589444850.86,38208.991010322825,0.047614268929373094,31
2021-06-19,36457.79628009,34933.06225074,35854.52922288,35615.86927002,667400859260.87,38218.0413134014,0.07206550128274083,15
2021-06-20,36059.48351685,33432.07604413,35563.13941499,35698.29644336,668968868769.75,37732.38924864282,0.08593744252943905,25
2021-06-21,35721.63963385,31295.93552923,35641.14606474,31676.69373254,593627575886.55,36512.13437337282,0.07587942892928219,46
2021-06-22,33292.45476399,28893.62165844,31622.37708528,32505.6598245,609180639389.88,35383.47592162567,0.05490402461362059,43
2021-06-23,34753.40850285,31772.63235532,32515.71430319,33723.0289781,632011278436.38,34722.899600402816,0.08907854885449931,38
2021-06-24,35228.85261084,32385.21469567,33682.80040376,34662.43589358,649643997441.37,34238.461274838526,0.04765950037738577,34
2021-06-25,35487.248003500004,31350.88385819,34659.10449948,31637.78005541,592978211189.03,33645.68059964425,0.09883365122179405,28
2021-06-26,32637.58719331,30184.50179358,31594.66357132,32186.27767093,603276028308.72,33155.7389426314,0.075311731365526,22
2021-06-27,34656.12735553,32071.75714808,32287.52321108,34649.64458753,649461677014.12,33005.93153465568,0.061739674089486114,12
2021-06-28,35219.89179129,33902.0758922,34679.12222205,34434.33531428,645442759493.21,33399.88033204711,0.08302162897247582,33
2021-06-29,36542.11101765,34252.48489199,34475.55969665,35867.77773549,672333423401.87,33880.18289075997,0.0757936170499946,51
2021-06-30,36074.75975718,34086.15187806,35908.38805414,35040.83724889,656852513237.54,34068.44121515854,0.08869395384335806,33
2021-07-01,35035.98271227,32883.78122635,35035.98271227,33572.11765253,629339325297.74,33912.68146643711,0.06632685852325573,38
2021-07-02,33939.58869924,32770.68078046,33549.6001774,33897.04858963,635450784106.09,34235.43411418283,0.050643209435424795,40
2021-07-03,34909.25989883,33402.69653615,33854.42136155,34668.54840182,649939701346.23,34590.04421859569,0.06551745911495911,31
2021-07-04,35937.56714724,34396.47745754,34665.56486608,35287.77976616,661574836314.86,34681.206386971404,0.07378872907575827,22
2021-07-05,35284.34443007,33213.66103397,35284.34443007,33746.00245614,632696207199.7,34582.87312152283,0.06632685852325573,17
2021-07-06,35038.53636342,33599.91616924,33723.50965515,34235.19345116,641899161593.76,34349.646795189976,0.06632685852325573,36
